path,changed,converted_blocks,skipped_blocks,incomplete_blocks,unsafe_blocks,already_pyodide_blocks,warnings
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/kjernedannelse-pilot-v2/index.qmd,True,13,0,6,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/lakselogistikk-pilot-student/index.qmd,True,13,0,5,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/plastisk-deformasjon-pilot-student/index.qmd,True,11,0,5,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/pumpekraftverk-pilot-student/index.qmd,True,20,0,11,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/robotkinematikk-pilot-student/index.qmd,True,24,0,16,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/rust-oksygentransport-pilot-student/index.qmd,True,12,0,8,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/saltkraftverk-pilot-student/index.qmd,True,12,0,7,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/skipstabilitet-pilot-student/index.qmd,True,16,0,12,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/solcelle-dc-buss-pilot-student/index.qmd,True,20,0,11,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/transformator-pilot-student/index.qmd,True,16,0,9,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/vannett-trykk-scc-pilot-student/index.qmd,True,19,0,13,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/varmestraling-bygg-radiositet-pilot-student/index.qmd,True,18,0,10,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m1-runde-2/watt-kobling-pilot-student/index.qmd,True,15,0,9,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/0-forside/index.qmd,True,1,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/1-laplacetransformasjon/index.qmd,False,0,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/1-laplacetransformasjon-lf/index.qmd,False,0,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/2-transferfunksjon/index.qmd,True,2,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/2-transferfunksjon-lf/index.qmd,True,2,0,0,0,0,
/Users/charlescurry/Documents/CTM_clone/CTM_prosjekter/projects-migrated/prosjekter-m2-jupyter/a-ais/3-bodeplot/index.qmd,True,5,0,0,0,0,
